experiment_id,candidate_strategy,normalization_strategy,features,model,negative_sampling,threshold,global_consistency,validation_precision,validation_recall,validation_f05,validation_f1,false_positives,false_negatives,singleton_accuracy,candidate_recall,runtime_sec
EXP-01_Baseline,SuperBlocking-Top15,Unidecode+CoreStrip,All 28 features,lightgbm,Hard Blocking Negatives,0.50,False,0.982414,0.952411,0.970203,0.960973,297,829,0.956522,0.961883,1.27
EXP-02_TunedThreshold,SuperBlocking-Top15,Unidecode+CoreStrip,All 28 features,lightgbm,Hard Blocking Negatives,0.80,False,0.991535,0.941332,0.974221,0.958327,140,1022,0.988142,0.961883,2.58
EXP-03_GlobalConsistency,SuperBlocking-Top15,Unidecode+CoreStrip,All 28 features,lightgbm,Hard Blocking Negatives,0.80,True,0.992615,0.941274,0.974978,0.958703,122,1023,0.992095,0.961883,2.25
EXP-04_SourceSpecificThresholds,SuperBlocking-Top15,Unidecode+CoreStrip,All 28 features,lightgbm,Hard Blocking Negatives,"S2=0.80, S3=0.80",True,0.992615,0.941274,0.974978,0.958703,122,1023,0.992095,0.961883,1.33
EXP-05_Ablation_NameOnly,SuperBlocking-Top15,Unidecode+CoreStrip,Name Features Only (11),lightgbm,Hard Blocking Negatives,0.64,True,0.881766,0.87721,0.888835,0.874892,2049,2139,0.833992,0.961883,1.75
EXP-06_Ablation_AddressOnly,SuperBlocking-Top15,Unidecode+CoreStrip,Address Features Only (10),lightgbm,Hard Blocking Negatives,0.68,True,0.967122,0.849369,0.918305,0.882608,503,2624,0.920949,0.961883,1.64
EXP-07_HistGradientBoosting,SuperBlocking-Top15,Unidecode+CoreStrip,All 28 features,hist_gb,Hard Blocking Negatives,0.80,True,0.992626,0.942767,0.975301,0.95965,122,997,0.988142,0.961883,7.56
EXP-08_DeepLightGBM_Tuned,SuperBlocking-Top15,Unidecode+CoreStrip,All 28 features (Tuned),lightgbm,Hard Blocking Negatives,"S2=0.80, S3=0.80",True,0.992627,0.942882,0.974928,0.959618,122,995,0.98419,0.961883,2.99
EXP-09_EnhancedFeatures_Top20,SuperBlocking-Top20,Unidecode+CoreStrip,All 32 features (incl. token conflict & exact core no addr),LightGBM-350trees,Hard Blocking Negatives (25k S1),"S2=0.85, S3=0.80",True,0.99317,0.943226,0.976008,0.960193,113,989,0.988142,0.964925,12.5
EXP-09_EnhancedFeatures_Top20,SuperBlocking-Top20,Unidecode+CoreStrip,All 32 features (incl. token conflict & exact core no addr),LightGBM-350trees,Hard Blocking Negatives (25k S1),"S2=0.75, S3=0.85",True,0.99264,0.944604,0.976385,0.961269,122,965,0.988142,0.964581,12.5
